epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,15302.2,0.91327,1.76263,1.83415,1.04548,0,0.29836,0.21923,0.15591,0.11204,0.29899,0.21929,0.15535,0.1012,0.93985,1.98243,2.13658,1.07123,0,8.79305e-05,8.79305e-05,8.79305e-05
55,15586.5,0.90204,1.7424,1.83411,1.04347,0,0.27541,0.22615,0.15986,0.11424,0.27815,0.2236,0.16047,0.10322,0.93316,1.97248,2.11141,1.07209,0,8.6099e-05,8.6099e-05,8.6099e-05
56,15870.5,0.91168,1.75524,1.81696,1.04521,0,0.2746,0.22089,0.15995,0.11543,0.2801,0.21896,0.16021,0.10433,0.93009,1.96766,2.11187,1.06871,0,8.42675e-05,8.42675e-05,8.42675e-05
57,16151.8,0.90287,1.73563,1.79169,1.03923,0,0.31629,0.21215,0.15638,0.11229,0.31717,0.21176,0.15632,0.10167,0.93847,1.98735,2.14023,1.07251,0,8.2436e-05,8.2436e-05,8.2436e-05
58,16438.6,0.90347,1.74458,1.79796,1.03965,0,0.29473,0.22325,0.15804,0.1135,0.27531,0.22561,0.15912,0.10317,0.92991,1.95987,2.10382,1.07071,0,8.06045e-05,8.06045e-05,8.06045e-05
59,16723.1,0.89475,1.72122,1.81375,1.03825,0,0.30101,0.22073,0.15884,0.11418,0.30206,0.22168,0.15941,0.10415,0.93059,1.96561,2.10943,1.07076,0,7.8773e-05,7.8773e-05,7.8773e-05
60,17009.6,0.90168,1.73836,1.79564,1.03936,0,0.2988,0.22964,0.16155,0.11464,0.30072,0.22882,0.16191,0.10321,0.93772,1.96597,2.09507,1.0744,0,7.69415e-05,7.69415e-05,7.69415e-05
61,17292,0.90291,1.74278,1.78982,1.04144,0,0.29945,0.22057,0.15853,0.1148,0.29995,0.21881,0.15878,0.10424,0.92768,1.96627,2.13254,1.06909,0,7.511e-05,7.511e-05,7.511e-05
62,17575.8,0.89394,1.72691,1.77923,1.03745,0,0.29444,0.21859,0.15739,0.11341,0.30121,0.21888,0.15872,0.10282,0.93502,1.97981,2.13243,1.07258,0,7.32785e-05,7.32785e-05,7.32785e-05
63,17861.9,0.90001,1.7268,1.77532,1.04092,0,0.28591,0.2309,0.16247,0.11502,0.28697,0.23284,0.16473,0.1044,0.93978,1.97024,2.09788,1.07817,0,7.1447e-05,7.1447e-05,7.1447e-05
64,18140.2,0.89452,1.7232,1.76482,1.03623,0,0.2832,0.22616,0.16102,0.11539,0.28768,0.22626,0.16252,0.10484,0.93043,1.9609,2.10959,1.07191,0,6.96155e-05,6.96155e-05,6.96155e-05
65,18423,0.89,1.71738,1.7568,1.0335,0,0.28679,0.22518,0.16134,0.11518,0.29043,0.22501,0.16366,0.10477,0.93312,1.95773,2.10201,1.07442,0,6.7784e-05,6.7784e-05,6.7784e-05
66,18707.4,0.89277,1.72771,1.73925,1.03417,0,0.2839,0.22615,0.16118,0.1152,0.28407,0.2277,0.16268,0.10482,0.92574,1.9583,2.09756,1.07129,0,6.59525e-05,6.59525e-05,6.59525e-05
67,18998.1,0.8914,1.71404,1.74733,1.03842,0,0.27875,0.22962,0.16026,0.11416,0.28174,0.23012,0.16196,0.10393,0.93029,1.96502,2.09967,1.07138,0,6.4121e-05,6.4121e-05,6.4121e-05
68,19284.4,0.88904,1.71143,1.74109,1.03425,0,0.2813,0.22766,0.16341,0.11674,0.2824,0.22834,0.16555,0.10642,0.92902,1.95265,2.09785,1.06915,0,6.22895e-05,6.22895e-05,6.22895e-05
69,19563.6,0.89294,1.71663,1.73592,1.03252,0,0.2787,0.23184,0.16542,0.11724,0.27994,0.23301,0.16611,0.10677,0.93751,1.96737,2.0883,1.07528,0,6.0458e-05,6.0458e-05,6.0458e-05
70,19850.7,0.88215,1.70112,1.72584,1.03225,0,0.28089,0.21859,0.1609,0.11472,0.28555,0.21662,0.16159,0.10485,0.93454,1.98873,2.12454,1.07307,0,5.86265e-05,5.86265e-05,5.86265e-05
71,20133.6,0.88451,1.70912,1.72808,1.03157,0,0.28221,0.22567,0.16397,0.11746,0.28413,0.22633,0.1653,0.10729,0.92858,1.95481,2.102,1.07102,0,5.6795e-05,5.6795e-05,5.6795e-05
72,20418.8,0.8903,1.71338,1.71717,1.0339,0,0.28588,0.22436,0.16212,0.1164,0.28714,0.2238,0.16327,0.10587,0.93093,1.96647,2.10697,1.06924,0,5.49635e-05,5.49635e-05,5.49635e-05
73,20699.8,0.88178,1.69619,1.71763,1.0315,0,0.28414,0.22309,0.16217,0.11603,0.2862,0.22347,0.16403,0.10571,0.9337,1.97713,2.10632,1.07407,0,5.3132e-05,5.3132e-05,5.3132e-05
74,20985.3,0.88787,1.70852,1.70321,1.03052,0,0.29627,0.22159,0.16539,0.11864,0.29716,0.22115,0.16712,0.10814,0.93458,1.98489,2.09827,1.07361,0,5.13005e-05,5.13005e-05,5.13005e-05
75,21265.3,0.88354,1.6928,1.69506,1.03004,0,0.28268,0.22784,0.16604,0.11872,0.29082,0.22635,0.16814,0.10817,0.93359,1.97551,2.08862,1.07306,0,4.9469e-05,4.9469e-05,4.9469e-05
76,21554.8,0.87816,1.68773,1.67636,1.02854,0,0.28342,0.23328,0.16819,0.12054,0.29325,0.22905,0.16953,0.10974,0.93028,1.9749,2.08742,1.0734,0,4.76375e-05,4.76375e-05,4.76375e-05
77,21838.3,0.88036,1.6888,1.6763,1.028,0,0.27797,0.22961,0.16583,0.11883,0.28752,0.22638,0.16757,0.10819,0.93109,1.96955,2.08727,1.07208,0,4.5806e-05,4.5806e-05,4.5806e-05
78,22128.9,0.88358,1.68911,1.68737,1.02874,0,0.28398,0.22844,0.16393,0.11786,0.28584,0.22941,0.16558,0.10713,0.93529,1.97617,2.10558,1.07647,0,4.39745e-05,4.39745e-05,4.39745e-05
79,22420.5,0.88661,1.69275,1.68349,1.02917,0,0.27679,0.22662,0.16383,0.11711,0.27853,0.22659,0.16449,0.10662,0.93542,1.97697,2.10301,1.07617,0,4.2143e-05,4.2143e-05,4.2143e-05
80,22707.2,0.88144,1.68872,1.68722,1.02892,0,0.2894,0.22094,0.16197,0.11638,0.29281,0.22142,0.16327,0.10627,0.93317,1.97422,2.10044,1.07312,0,4.03115e-05,4.03115e-05,4.03115e-05
81,22996,0.8817,1.69171,1.67915,1.02782,0,0.28475,0.22595,0.1658,0.11884,0.28839,0.22651,0.16692,0.1086,0.93092,1.97787,2.09495,1.0735,0,3.848e-05,3.848e-05,3.848e-05
82,23281.6,0.88541,1.69296,1.67318,1.02832,0,0.28256,0.22853,0.1656,0.11843,0.29239,0.22474,0.16662,0.10791,0.93477,1.97357,2.09306,1.0744,0,3.66485e-05,3.66485e-05,3.66485e-05
83,23564,0.88157,1.6888,1.6755,1.02631,0,0.29198,0.22354,0.16475,0.11799,0.29404,0.22294,0.16625,0.10756,0.93586,1.98423,2.09292,1.07468,0,3.4817e-05,3.4817e-05,3.4817e-05
84,23845.8,0.88354,1.68246,1.65403,1.0272,0,0.30139,0.22512,0.16341,0.11701,0.30458,0.22626,0.16525,0.10663,0.93987,1.98777,2.10712,1.07582,0,3.29855e-05,3.29855e-05,3.29855e-05
85,24129.6,0.87885,1.68332,1.65624,1.02785,0,0.28999,0.22331,0.16475,0.11785,0.29111,0.22407,0.16595,0.10739,0.93433,1.97452,2.09605,1.07271,0,3.1154e-05,3.1154e-05,3.1154e-05
86,24419.7,0.87763,1.68082,1.66885,1.02584,0,0.29116,0.22353,0.16385,0.11711,0.29497,0.22189,0.1648,0.10669,0.93507,1.98383,2.10844,1.07507,0,2.93225e-05,2.93225e-05,2.93225e-05
87,24707.3,0.87694,1.66957,1.65525,1.02687,0,0.27867,0.22805,0.16364,0.11704,0.28795,0.2249,0.16467,0.10667,0.93488,1.96989,2.09169,1.07518,0,2.7491e-05,2.7491e-05,2.7491e-05
88,286.262,0.87709,1.67422,1.62851,1.02271,0,0.28273,0.22985,0.16574,0.11876,0.28761,0.22875,0.16742,0.10855,0.93513,1.97494,2.09256,1.07466,0,2.56595e-05,2.56595e-05,2.56595e-05
